;Controle;12024;22024;32024;42024;52024;62024;72024;82024;92024;102024;112024;122024;132024;142024;152024;162024;172024;182024;192024;202024;212024;222024;232024;242024;252024;262024;272024;282024;292024;302024;312024;322024;332024;342024;352024;362024;372024;382024
Nome 1;;x;;;;;x;;;;;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;
Nome 2;;;x;x;;;;;x;;;;;;;;x;;;;;;x;;;;;;;;;;;;;;;;
Nome 3;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;x
Nome 4;;;;;;;;x;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;x;
Nome 5;;;;;;;x;;;;x;;;;;;;x;;;x;;;;x;;;;;;;;;;;;;;
Nome 6;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
Nome 7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
Nome 8;;;;;;x;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;;;;;;;
Nome 9;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
Nome 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;
Nome 11;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
Nome 12;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;;;;
Nome 13;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;;;;;;
Nome 14;;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;;;;;
Nome 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;
